work_type,work_id,state,district,mp_name,constituency,work_description,recommendation_date,recommended_amount,sanction_date,sanctioned_amount,work_status,payment_count,total_disbursed,average_payment,maximum_payment,first_payment_date,last_payment_date,vendor_name,image_available,actual_completion_date,final_completed_amount,expenditure_ratio,amount_deviation,sanction_delay_days,payment_duration_days,completion_duration_days,vendor_count_per_work,peer_median_amount,peer_deviation,if_anomaly_signal,if_decision_score,similar_work_detected,similar_work_id,similarity_score_val,risk_evidence_explanation,prototype_risk_score,risk_level,risk_components,structured_reasons,ai_justification_summary
Normal/Others,WS/MP225/2024-2025/159409,Chhattisgarh,JASHPUR,Smt. Ranjeet Ranjan (2022-28) (2022-2028),Elected MP,"Strengthening of the Road from the Main Road to Satitikara Approach Road in Village Maini, Village Panchayat Bagicha, District Jaspur, Chhattisgarh.",2024-12-17,999778.0,2025-01-06,999778.0,Physical Inspection,2.0,999778.0,499889.0,749892.0,2025-01-08,2025-03-06,Rameshwar Gupta,,,,1.0,0.0,20.0,57.0,,1,496458.0,1.0138219144419065,False,0.13004840116244193,False,,0.6563459712750246,Peer Deviation,25.0,MEDIUM,"{""financial"": 25.0, ""ml"": 0.0, ""payment"": 0.0, ""delay"": 0.0, ""similarity"": 0.0}","[{""type"": ""Peer Deviation"", ""evidence"": ""Expenditure = Rs. 999,778.00 | Peer Median = Rs. 496,458.00"", ""calculation"": ""(Expenditure - Peer Median) / Peer Median = 101.4%"", ""explanation"": ""The expenditure is 101.4% higher than comparable works in the available dataset."", ""score"": 25.0}]",The AI engine assigned a MEDIUM risk score of 25.0/100. The justification for this score is based on 1 detected anomalies: The expenditure is 101.4% higher than comparable works in the available dataset.
Normal/Others,WS/MP225/2024-2025/142863,Chhattisgarh,JASHPUR,Smt. Ranjeet Ranjan (2022-28) (2022-2028),Elected MP,"Construction / development of road  from Suikona to Kudagada in Samarbar  village of Bagicha tehsil, district  Jashpur, Chhattisgarh",2024-09-23,1499544.0,2024-10-01,1499544.0,Physical Inspection,2.0,1499544.0,749772.0,749788.0,2024-10-07,2024-10-25,Rameshwar Gupta,,,,1.0,0.0,8.0,18.0,,1,496458.0,2.0204851165657516,False,0.07351888251227429,False,,0.3788826399111243,Peer Deviation,25.0,MEDIUM,"{""financial"": 25.0, ""ml"": 0.0, ""payment"": 0.0, ""delay"": 0.0, ""similarity"": 0.0}","[{""type"": ""Peer Deviation"", ""evidence"": ""Expenditure = Rs. 1,499,544.00 | Peer Median = Rs. 496,458.00"", ""calculation"": ""(Expenditure - Peer Median) / Peer Median = 202.0%"", ""explanation"": ""The expenditure is 202.0% higher than comparable works in the available dataset."", ""score"": 25.0}]",The AI engine assigned a MEDIUM risk score of 25.0/100. The justification for this score is based on 1 detected anomalies: The expenditure is 202.0% higher than comparable works in the available dataset.
Normal/Others,WS/MP225/2025-2026/204790,Chhattisgarh,JASHPUR,Smt. Ranjeet Ranjan (2022-28) (2022-2028),Elected MP,"Construction of road from Main Road to Sarana Approach Road, Village Panchayat Maini, Subdivision Bagicha, District Jashpur.",2025-05-31,1499677.0,2025-06-20,1499677.0,Physical Inspection,2.0,1499677.0,749838.5,749862.0,2025-06-20,2025-08-19,Rameshwar Gupta,,,,1.0,0.0,20.0,60.0,,1,496458.0,2.0207530143536814,False,0.07913586233761266,False,,0.7085972711926656,Peer Deviation,25.0,MEDIUM,"{""financial"": 25.0, ""ml"": 0.0, ""payment"": 0.0, ""delay"": 0.0, ""similarity"": 0.0}","[{""type"": ""Peer Deviation"", ""evidence"": ""Expenditure = Rs. 1,499,677.00 | Peer Median = Rs. 496,458.00"", ""calculation"": ""(Expenditure - Peer Median) / Peer Median = 202.1%"", ""explanation"": ""The expenditure is 202.1% higher than comparable works in the available dataset."", ""score"": 25.0}]",The AI engine assigned a MEDIUM risk score of 25.0/100. The justification for this score is based on 1 detected anomalies: The expenditure is 202.1% higher than comparable works in the available dataset.
Normal/Others,WS/MP225/2025-2026/204791,Chhattisgarh,JASHPUR,Smt. Ranjeet Ranjan (2022-28) (2022-2028),Elected MP,"Construction of road from Main Road to Ten Ghat, Village Panchayat Maini,Bagicha, Jashpur.",2025-05-31,1499836.0,2025-06-20,1499836.0,Physical Inspection,2.0,1499836.0,749918.0,749974.0,2025-06-20,2025-08-19,Rameshwar Gupta,,,,1.0,0.0,20.0,60.0,,1,496458.0,2.021073283137748,False,0.07943870854838453,False,,0.7085972711926656,Peer Deviation,25.0,MEDIUM,"{""financial"": 25.0, ""ml"": 0.0, ""payment"": 0.0, ""delay"": 0.0, ""similarity"": 0.0}","[{""type"": ""Peer Deviation"", ""evidence"": ""Expenditure = Rs. 1,499,836.00 | Peer Median = Rs. 496,458.00"", ""calculation"": ""(Expenditure - Peer Median) / Peer Median = 202.1%"", ""explanation"": ""The expenditure is 202.1% higher than comparable works in the available dataset."", ""score"": 25.0}]",The AI engine assigned a MEDIUM risk score of 25.0/100. The justification for this score is based on 1 detected anomalies: The expenditure is 202.1% higher than comparable works in the available dataset.
Normal/Others,WS/MP225/2025-2026/207305,Chhattisgarh,JASHPUR,Smt. Ranjeet Ranjan (2022-28) (2022-2028),Elected MP,Road work from the main road to Machari Dumarpani Basti in Gram Panchayat Butanga Sub District Bagicha District Jashpur Chhattisgarh,2025-06-09,1449626.0,2025-09-29,1449626.0,Physical Inspection,2.0,1449626.0,724813.0,724857.0,2025-10-06,2026-01-28,RAJ KUMAR SHARMA,,,,1.0,0.0,112.0,114.0,,1,496458.0,1.9199368325215829,False,0.07769229199392674,False,,0.4370307284625729,Peer Deviation,25.0,MEDIUM,"{""financial"": 25.0, ""ml"": 0.0, ""payment"": 0.0, ""delay"": 0.0, ""similarity"": 0.0}","[{""type"": ""Peer Deviation"", ""evidence"": ""Expenditure = Rs. 1,449,626.00 | Peer Median = Rs. 496,458.00"", ""calculation"": ""(Expenditure - Peer Median) / Peer Median = 192.0%"", ""explanation"": ""The expenditure is 192.0% higher than comparable works in the available dataset."", ""score"": 25.0}]",The AI engine assigned a MEDIUM risk score of 25.0/100. The justification for this score is based on 1 detected anomalies: The expenditure is 192.0% higher than comparable works in the available dataset.
Normal/Others,WS/MP225/2026-2027/278135,Chhattisgarh,JASHPUR,Smt. Ranjeet Ranjan (2022-28) (2022-2028),Elected MP,Construction of a culvert on the main road to Sarna School access road.,2026-04-24,1499843.0,2026-05-20,1499843.0,Work partially Completed,2.0,1499120.0,749560.0,900400.0,2026-05-22,2026-07-22,AK Ventures | Qureshi Infra,,,,0.9995179495453858,0.0,26.0,61.0,,2,496458.0,2.019631066474908,False,0.07836706562782031,False,,0.708786707828267,Peer Deviation,25.0,MEDIUM,"{""financial"": 25.0, ""ml"": 0.0, ""payment"": 0.0, ""delay"": 0.0, ""similarity"": 0.0}","[{""type"": ""Peer Deviation"", ""evidence"": ""Expenditure = Rs. 1,499,120.00 | Peer Median = Rs. 496,458.00"", ""calculation"": ""(Expenditure - Peer Median) / Peer Median = 202.0%"", ""explanation"": ""The expenditure is 202.0% higher than comparable works in the available dataset."", ""score"": 25.0}]",The AI engine assigned a MEDIUM risk score of 25.0/100. The justification for this score is based on 1 detected anomalies: The expenditure is 202.0% higher than comparable works in the available dataset.
Normal/Others,WS/MP225/2025-2026/250308,Chhattisgarh,JASHPUR,Smt. Ranjeet Ranjan (2022-28) (2022-2028),Elected MP,RCC Pulia Culvert Construction at Sarna Crusher Road Janpad Panchayat Bagicha Gram Panchayat Maini District Jashpur Chhattisgarh,2025-11-28,1500000.0,2026-03-24,1500000.0,Work Completed,2.0,1498218.0,749109.0,750560.0,2026-03-25,2026-05-08,Rameshwar Gupta,,,,0.998812,0.0,116.0,44.0,,1,496458.0,2.0178141957627838,False,0.07738446768542889,False,,0.5247597388096248,Peer Deviation,25.0,MEDIUM,"{""financial"": 25.0, ""ml"": 0.0, ""payment"": 0.0, ""delay"": 0.0, ""similarity"": 0.0}","[{""type"": ""Peer Deviation"", ""evidence"": ""Expenditure = Rs. 1,498,218.00 | Peer Median = Rs. 496,458.00"", ""calculation"": ""(Expenditure - Peer Median) / Peer Median = 201.8%"", ""explanation"": ""The expenditure is 201.8% higher than comparable works in the available dataset."", ""score"": 25.0}]",The AI engine assigned a MEDIUM risk score of 25.0/100. The justification for this score is based on 1 detected anomalies: The expenditure is 201.8% higher than comparable works in the available dataset.
Normal/Others,WS/MP225/2025-2026/268688,Chhattisgarh,JASHPUR,Smt. Ranjeet Ranjan (2022-28) (2022-2028),Elected MP,"Construction of RCC culvert on Sarna approach road, Village Maini, Sub-District Bagicha, District Jashpur.",2026-02-16,1300000.0,2026-02-24,1300000.0,Work Completed,2.0,1299778.0,649889.0,649998.0,2026-02-27,2026-04-02,Rameshwar Gupta,,,,0.9998292307692308,0.0,8.0,34.0,,1,496458.0,1.6181026390953515,False,0.09905413239700478,False,,0.566893722960065,Peer Deviation,25.0,MEDIUM,"{""financial"": 25.0, ""ml"": 0.0, ""payment"": 0.0, ""delay"": 0.0, ""similarity"": 0.0}","[{""type"": ""Peer Deviation"", ""evidence"": ""Expenditure = Rs. 1,299,778.00 | Peer Median = Rs. 496,458.00"", ""calculation"": ""(Expenditure - Peer Median) / Peer Median = 161.8%"", ""explanation"": ""The expenditure is 161.8% higher than comparable works in the available dataset."", ""score"": 25.0}]",The AI engine assigned a MEDIUM risk score of 25.0/100. The justification for this score is based on 1 detected anomalies: The expenditure is 161.8% higher than comparable works in the available dataset.
Normal/Others,WS/MP225/2026-2027/278133,Chhattisgarh,JASHPUR,Smt. Ranjeet Ranjan (2022-28) (2022-2028),Elected MP,Construction of a culvert on the main road to the Aarakona access road.,2026-04-24,1499843.0,2026-05-20,1499843.0,Vendor Identification,1.0,900400.0,900400.0,900400.0,2026-05-22,2026-05-22,AK Ventures,,,,0.6003295011544542,0.0,26.0,0.0,,1,496458.0,0.8136478815932062,False,0.02051489912338955,False,,0.708786707828267,Peer Deviation,25.0,MEDIUM,"{""financial"": 25.0, ""ml"": 0.0, ""payment"": 0.0, ""delay"": 0.0, ""similarity"": 0.0}","[{""type"": ""Peer Deviation"", ""evidence"": ""Expenditure = Rs. 900,400.00 | Peer Median = Rs. 496,458.00"", ""calculation"": ""(Expenditure - Peer Median) / Peer Median = 81.4%"", ""explanation"": ""The expenditure is 81.4% higher than comparable works in the available dataset."", ""score"": 25.0}]",The AI engine assigned a MEDIUM risk score of 25.0/100. The justification for this score is based on 1 detected anomalies: The expenditure is 81.4% higher than comparable works in the available dataset.
Normal/Others,WS/MP225/2026-2027/278134,Chhattisgarh,JASHPUR,Smt. Ranjeet Ranjan (2022-28) (2022-2028),Elected MP,Construction of a culvert on the main road to the Sardih Dam access road.,2026-04-24,1499843.0,2026-05-20,1499843.0,Work partially Completed,2.0,1499658.0,749829.0,900400.0,2026-05-22,2026-07-22,AK Ventures | Qureshi Infra,,,,0.9998766537564264,0.0,26.0,61.0,,2,496458.0,2.02071474324112,False,0.07913586233761266,False,,0.6928117393645689,Peer Deviation,25.0,MEDIUM,"{""financial"": 25.0, ""ml"": 0.0, ""payment"": 0.0, ""delay"": 0.0, ""similarity"": 0.0}","[{""type"": ""Peer Deviation"", ""evidence"": ""Expenditure = Rs. 1,499,658.00 | Peer Median = Rs. 496,458.00"", ""calculation"": ""(Expenditure - Peer Median) / Peer Median = 202.1%"", ""explanation"": ""The expenditure is 202.1% higher than comparable works in the available dataset."", ""score"": 25.0}]",The AI engine assigned a MEDIUM risk score of 25.0/100. The justification for this score is based on 1 detected anomalies: The expenditure is 202.1% higher than comparable works in the available dataset.
