work_type,work_id,state,district,mp_name,constituency,work_description,recommendation_date,recommended_amount,sanction_date,sanctioned_amount,work_status,payment_count,total_disbursed,average_payment,maximum_payment,first_payment_date,last_payment_date,vendor_name,image_available,actual_completion_date,final_completed_amount,expenditure_ratio,amount_deviation,sanction_delay_days,payment_duration_days,completion_duration_days,vendor_count_per_work,peer_median_amount,peer_deviation,if_anomaly_signal,if_decision_score,similar_work_detected,similar_work_id,similarity_score_val,risk_evidence_explanation,prototype_risk_score,risk_level,risk_components,structured_reasons,ai_justification_summary
Normal/Others,WS/MP053/2025-2026/179152,Bihar,PURBI CHAMPARAN,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC Road from the RWD road in ward 12 of Tajiyapur to the field of VIjay singh jee,2025-03-05,1483008.0,2025-04-03,1483008.0,Physical Inspection,1.0,1483008.0,1483008.0,1483008.0,2025-09-10,2025-09-10,GUDIYA KUMARI,True,2025-10-31,1483008.0,1.0,0.0,29.0,0.0,211.0,1,1481882.5,0.000759506910973036,False,0.15198531741023297,False,,0.34018562066835223,No unusual patterns detected.,0.0,LOW,"{""financial"": 0.0, ""ml"": 0.0, ""payment"": 0.0, ""delay"": 0.0, ""similarity"": 0.0}",[],"The AI engine evaluated this project and assigned a LOW risk score. No unusual financial, temporal, or structural patterns were detected in the available data."
Normal/Others,WS/MP053/2025-2026/179153,Bihar,PURBI CHAMPARAN,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the REO road to the house of Nandkishor Shah in in ward no.12 in Madhuvan vedivan,2025-03-05,1483556.0,2025-04-03,1483556.0,Physical Inspection,1.0,1483556.0,1483556.0,1483556.0,2025-07-31,2025-07-31,SUMAN JAISWAL,False,2025-07-30,1483556.0,1.0,0.0,29.0,0.0,118.0,1,1481882.5,0.0011293068107626617,False,0.17969860610328242,False,,0.34018562066835223,No unusual patterns detected.,0.0,LOW,"{""financial"": 0.0, ""ml"": 0.0, ""payment"": 0.0, ""delay"": 0.0, ""similarity"": 0.0}",[],"The AI engine evaluated this project and assigned a LOW risk score. No unusual financial, temporal, or structural patterns were detected in the available data."
Normal/Others,WS/MP053/2025-2026/232202,Bihar,PURBI CHAMPARAN,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the Belwa ray main Road towards Baghi village,2025-09-08,1480757.0,2025-09-22,1480757.0,Physical Inspection,1.0,1480757.0,1480757.0,1480757.0,2026-02-12,2026-02-12,ARADHAYA ENTERPRISES ARTI DEVI,True,2026-02-18,1480757.0,1.0,0.0,14.0,0.0,149.0,1,1481882.5,-0.000759506910973036,False,0.17669798724046482,False,,0.2374649314670927,No unusual patterns detected.,0.0,LOW,"{""financial"": 0.0, ""ml"": 0.0, ""payment"": 0.0, ""delay"": 0.0, ""similarity"": 0.0}",[],"The AI engine evaluated this project and assigned a LOW risk score. No unusual financial, temporal, or structural patterns were detected in the available data."
Normal/Others,WS/MP053/2024-2025/179155,Bihar,PURBI CHAMPARAN,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the house  of Devki Baitha to the house of Manish Pandey and from the land of Ishwar jee to the Akash bhavan,2025-03-05,1480654.0,2025-03-29,1480654.0,Physical Inspection,2.0,1480654.0,740327.0,1300000.0,2025-07-05,2025-08-26,DEEPAK PRASAD GUPTA,True,2026-01-13,1480654.0,1.0,0.0,24.0,52.0,290.0,1,1481882.5,-0.0008290130965174365,False,0.01813508251350926,False,,0.2435602260878668,No unusual patterns detected.,0.0,LOW,"{""financial"": 0.0, ""ml"": 0.0, ""payment"": 0.0, ""delay"": 0.0, ""similarity"": 0.0}",[],"The AI engine evaluated this project and assigned a LOW risk score. No unusual financial, temporal, or structural patterns were detected in the available data."
Normal/Others,WS/MP053/2025,Bihar,PURBI CHAMPARAN,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of Snan ghat in Nijamat Pokhra in ward no.13,2025-03-05,988810.0,2025-04-03,988810.0,Physical Inspection,,,,,,,,False,2025-07-24,988810.0,,0.0,29.0,,112.0,0,1481882.5,0.0,False,0.23688208179102882,False,,0.09689864659830418,No unusual patterns detected.,0.0,LOW,"{""financial"": 0.0, ""ml"": 0.0, ""payment"": 0.0, ""delay"": 0.0, ""similarity"": 0.0}",[],"The AI engine evaluated this project and assigned a LOW risk score. No unusual financial, temporal, or structural patterns were detected in the available data."
Normal/Others,WS/MP053/2025-2026/232200,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC in road in Basant Bihar Colony from the house of Deepak Thakur to the house of Amit Kumar,2025-09-08,998317.0,2025-10-06,998317.0,Physical Inspection,1.0,998317.0,998317.0,998317.0,2026-01-13,2026-01-13,ASSISTANT ENGINEER DIGHA,True,2026-01-13,998317.0,1.0,0.0,28.0,0.0,99.0,1,1480057.0,-0.3254874643341439,False,0.22483131504003934,False,,0.46245521741435947,No unusual patterns detected.,0.0,LOW,"{""financial"": 0.0, ""ml"": 0.0, ""payment"": 0.0, ""delay"": 0.0, ""similarity"": 0.0}",[],"The AI engine evaluated this project and assigned a LOW risk score. No unusual financial, temporal, or structural patterns were detected in the available data."
Normal/Others,WS/MP053/2025-2026/232201,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road in Basant Bihar Colony from the house of  Suraj Sharma to the house of Rajkumar Singh.,2025-09-08,1494048.0,2025-10-06,1494048.0,Physical Inspection,1.0,1494048.0,1494048.0,1494048.0,2026-01-13,2026-01-13,ASSISTANT ENGINEER DIGHA,True,2026-01-13,1494048.0,1.0,0.0,28.0,0.0,99.0,1,1480057.0,0.009453014309584023,False,0.18036634536119667,False,,0.46245521741435947,No unusual patterns detected.,0.0,LOW,"{""financial"": 0.0, ""ml"": 0.0, ""payment"": 0.0, ""delay"": 0.0, ""similarity"": 0.0}",[],"The AI engine evaluated this project and assigned a LOW risk score. No unusual financial, temporal, or structural patterns were detected in the available data."
Normal/Others,WS/MP053/2025-2026/259291,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road near Panchayat Bhavan from the boundary of Sudhir jee to towards the boundary of Shashi singh jee,2026-01-15,1023610.0,2026-02-02,1023610.0,Physical Inspection,1.0,1023610.0,1023610.0,1023610.0,2026-02-27,2026-02-27,ASSISTANT ENGINEER FATUHA,True,2026-02-27,1023610.0,1.0,0.0,18.0,0.0,25.0,1,1480057.0,-0.30839825763467216,False,0.20627186717742857,False,,0.3300115348283749,No unusual patterns detected.,0.0,LOW,"{""financial"": 0.0, ""ml"": 0.0, ""payment"": 0.0, ""delay"": 0.0, ""similarity"": 0.0}",[],"The AI engine evaluated this project and assigned a LOW risk score. No unusual financial, temporal, or structural patterns were detected in the available data."
Normal/Others,WS/MP053/2025-2026/272279,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from examination building to  to Rajendra Prasad multipurpose building in A.N college,2026-03-04,1494000.0,2026-03-13,1494000.0,Physical Inspection,1.0,1494000.0,1494000.0,1494000.0,2026-03-25,2026-03-25,ASSISTANT ENGINEER BANKIPUR,True,2026-03-25,1494000.0,1.0,0.0,9.0,0.0,12.0,1,1480057.0,0.00942058312619041,False,0.1632178252422702,False,,0.5485849627763688,No unusual patterns detected.,0.0,LOW,"{""financial"": 0.0, ""ml"": 0.0, ""payment"": 0.0, ""delay"": 0.0, ""similarity"": 0.0}",[],"The AI engine evaluated this project and assigned a LOW risk score. No unusual financial, temporal, or structural patterns were detected in the available data."
Normal/Others,WS/MP053/2025-2026/272280,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,construction of Pcc road from the multipurpose building towards parking space in A.N college.,2026-03-04,1495200.0,2026-03-13,1495200.0,Physical Inspection,1.0,1495200.0,1495200.0,1495200.0,2026-03-25,2026-03-25,ASSISTANT ENGINEER BANKIPUR,True,2026-03-25,1495200.0,1.0,0.0,9.0,0.0,12.0,1,1480057.0,0.010231362711030725,False,0.16265932752153545,False,,0.5485849627763688,No unusual patterns detected.,0.0,LOW,"{""financial"": 0.0, ""ml"": 0.0, ""payment"": 0.0, ""delay"": 0.0, ""similarity"": 0.0}",[],"The AI engine evaluated this project and assigned a LOW risk score. No unusual financial, temporal, or structural patterns were detected in the available data."
